,DPN92,SENet18,ResNet50,ResNeXt29_2x64d,GoogLeNet,MobileNetV2,ResNet18,DenseNet121
0,0,1,1,0,0,0,1,0
1,0,1,1,0,0,0,1,0
2,1,1,1,1,0,0,1,0
3,1,1,1,1,0,1,1,0
4,0,0,0,0,1,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0
8,0,0,1,1,0,0,0,0
9,0,0,1,1,1,0,1,0
10,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1
12,1,1,1,1,0,1,1,0
13,1,1,1,1,1,1,1,0
14,1,1,1,1,1,0,1,0
15,0,1,1,1,0,0,1,0
16,1,0,1,1,0,0,1,1
17,1,1,1,1,0,0,0,1
18,0,1,1,0,0,1,0,0
19,0,1,1,0,0,0,1,0
20,0,0,1,0,1,0,0,0
21,1,0,1,0,0,0,0,0
22,1,1,1,1,0,0,1,1
23,1,1,1,0,0,0,1,1
24,1,0,1,0,0,0,0,0
25,1,0,1,0,0,0,0,1
26,0,0,1,0,1,0,0,0
27,0,0,0,0,0,0,0,0
28,1,1,1,1,1,0,1,1
29,1,1,0,1,1,0,1,0
30,1,1,1,1,1,0,1,0
31,1,1,1,1,1,0,1,0
32,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
36,1,0,1,1,1,0,0,0
37,1,0,1,1,1,0,0,0
38,1,0,1,0,1,0,1,0
39,1,0,1,0,1,0,0,0
